Apartment,Rooftop Lounge,Pool,Free Furnishing,Parking Available,Study Rooms,Gym
2400 Nueces,No,Yes,Yes,Yes,Yes,Yes
26 West,No,Yes,Yes,Yes,Yes,Yes
Crest at Pearl,Yes,Yes,Yes,Yes,Yes,Yes
GrandMarc,No,Yes,Yes,Yes,Yes,Yes
Inspire on 22nd,Yes,Yes,Yes,Yes,Yes,Yes
Ion,Yes,Yes,Yes,Yes,Yes,Yes
Lark,Yes,Yes,Yes,Yes,Yes,Yes
Moontower,Yes,Yes,Yes,Yes,Yes,Yes
Nine at Rio,No,No,Yes,Yes,Yes,Yes
Pointe on Rio,No,Yes,Yes,Yes,No,Yes
Quarters Nueces,No,Yes,No,Yes,Yes,Yes
Rambler,No,Yes,Yes,Yes,Yes,Yes
Rise,Yes,Yes,Yes,Yes,Yes,Yes
Signature,Yes,Yes,Yes,Yes,Yes,Yes
Skyloft,No,No,Yes,Yes,Yes,Yes
The Block on 25th,No,No,No,Yes,No,Yes
The Mark,Yes,Yes,Yes,Yes,Yes,Yes
The Standard,Yes,Yes,Yes,Yes,Yes,Yes
Twenty Two Fifteen,No,No,No,Yes,Yes,Yes
Villas on 26th,Yes,Yes,Yes,Yes,Yes,Yes
Villas on Rio,Yes,Yes,Yes,Yes,Yes,Yes
Waterloo,Yes,Yes,Yes,Yes,Yes,Yes